"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"IMAGICAA","Imagicaaworld Entertainment Limited","Agreements,Contracts,Arrangements,MOU-XBRL","IMAGICAAWORLD ENTERTAINMENT LIMITED has informed the Exchange regarding Loan Agreement","05-Jun-2025 17:40:36","2025-06-05 17:40:36","05-Jun-2025 17:40:36","00:00:00","https://nsearchives.nseindia.com/corporate/xbrl/ANN_AGREEMENT_1463415_05062025054035_WEB.xml","12 KB"
"ZIMLAB","Zim Laboratories Limited","General Updates","Zim Laboratories Limited has informed the Exchange about Corrigendum to the Annual Report","05-Jun-2025 17:39:49","2025-06-05 17:39:49","05-Jun-2025 17:39:49","00:00:00","https://nsearchives.nseindia.com/corporate/ZIMLAB_05062025173858_Discl_Reg34_CorrigendumAR2425.pdf","4.29 MB"
"WIPRO","Wipro Limited","Updates","Wipro Limited has informed the Exchange regarding 'Grant of Restricted Stock Units'.","05-Jun-2025 17:38:56","2025-06-05 17:38:56","05-Jun-2025 17:38:58","00:00:02","https://nsearchives.nseindia.com/corporate/Wipro_Secretarial_05062025173834_SEGrantIntimation.pdf","216 KB"
"AKSHOPTFBR","Aksh Optifibre Limited","Updates","Aksh Optifibre Limited has informed the Exchange regarding 'Disclosure under Regulation 29(1) of SEBI (SAST) Regulations, 2011 received from Promoter Group'.","05-Jun-2025 17:38:36","2025-06-05 17:38:36","05-Jun-2025 17:38:37","00:00:01","https://nsearchives.nseindia.com/corporate/AKSHOPTFBR_05062025173824_Regulation29SEBISAST123.pdf","994 KB"
"HAVELLS","Havells India Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Havells India Limited has informed the Exchange about Schedule of meet","05-Jun-2025 17:36:07","2025-06-05 17:36:07","05-Jun-2025 17:36:08","00:00:01","https://nsearchives.nseindia.com/corporate/HAVELLS1_05062025173452_Schedule_of_AnalystMeet_05062025.pdf","3.62 MB"
"HAVELLS","Havells India Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Havells India Limited has informed the Exchange about Schedule of meet","05-Jun-2025 17:36:07","2025-06-05 17:36:07","05-Jun-2025 17:36:08","00:00:01","https://nsearchives.nseindia.com/corporate/HAVELLS1_05062025173548_Schedule_of_AnalystMeet_05062025.pdf","3.62 MB"
"SHRIRAMFIN","Shriram Finance Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Shriram Finance Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","05-Jun-2025 17:36:03","2025-06-05 17:36:03","05-Jun-2025 17:36:04","00:00:01","https://nsearchives.nseindia.com/corporate/Mathew_05062025173543_BSENSE_05062025_Upload.pdf","747 KB"
"TIPSMUSIC","Tips Music Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Tips Music Limited has informed the Exchange about Schedule of meet","05-Jun-2025 17:33:54","2025-06-05 17:33:54","05-Jun-2025 17:33:55","00:00:01","https://nsearchives.nseindia.com/corporate/TIPSINDLTD_05062025172447_TIPSMUSIC12P.pdf","585 KB"
"IMAGICAA","Imagicaaworld Entertainment Limited","Agreements","Imagicaaworld Entertainment Limited has informed the Exchange about Agreements","05-Jun-2025 17:33:41","2025-06-05 17:33:41","05-Jun-2025 17:33:43","00:00:02","https://nsearchives.nseindia.com/corporate/IMAGICAA_05062025173315_SEintimation.pdf","377 KB"
"MAHESHWARI","Maheshwari Logistics Limited","Dividend","Maheshwari Logistics Limited has informed the Exchange that Board of Directors at its meeting held on May 30, 2025, recommended Final Dividend of Rs. 0 per equity share.","05-Jun-2025 17:31:50","2025-06-05 17:31:50","05-Jun-2025 17:31:52","00:00:02","https://nsearchives.nseindia.com/corporate/MAHESHWARI_05062025173108_NSE.pdf","2.45 MB"
"JSWENERGY","JSW Energy Limited","General Updates","JSW Energy Limited has informed the Exchange about Commissioning of 281 MW organic RE capacity and signing Power Purchase Agreement with Adani Electricity Mumbai Limited","05-Jun-2025 17:29:39","2025-06-05 17:29:39","05-Jun-2025 17:29:40","00:00:01","https://nsearchives.nseindia.com/corporate/RITESHJSWEL_05062025172923_MERGE.pdf","313 KB"
"BFUTILITIE","BF Utilities Limited","Shareholders meeting","BF Utilities Limited has informed the Exchange regarding Proceedings of Postal Ballot","05-Jun-2025 17:29:24","2025-06-05 17:29:24","05-Jun-2025 17:29:24","00:00:00","https://nsearchives.nseindia.com/corporate/BFUTILITIE_05062025172823_Proceedings_Postal_Ballot_BFUL_05062025.pdf","580 KB"
"INDOTECH","Indo Tech Transformers Limited","Credit Rating- Revision","Indo Tech Transformers Limited has informed the Exchange about Credit Rating- Revision","05-Jun-2025 17:26:50","2025-06-05 17:26:50","05-Jun-2025 17:26:50","00:00:00","https://nsearchives.nseindia.com/corporate/INDOTECH_05062025172256_Revision_in_Credit_Rating_June052025Signed.pdf","765 KB"
"ONELIFECAP","Onelife Capital Advisors Limited","Notice Of Shareholders Meetings-XBRL","Onelife Capital Advisors Limited has informed the Exchange about Notice of Shareholders Meeting for Extra-ordinary Meeting to be held on 24-Jun-2025","05-Jun-2025 17:26:47","2025-06-05 17:26:47","05-Jun-2025 17:26:48","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/NOTICE_OF_SHAREHOLDERS_MEETINGS_1463408_05062025052646_WEB.xml","71 KB"
"TATAINVEST","Tata Investment Corporation Limited","General Updates","Tata Investment Corporation Limited has informed the Exchange about General Updates","05-Jun-2025 17:26:31","2025-06-05 17:26:31","05-Jun-2025 17:26:33","00:00:02","https://nsearchives.nseindia.com/corporate/TATAINVEST_05062025172608_SE_Int_sd.pdf","1.40 MB"
"PIGL","Power & Instrumentation (Gujarat) Limited","Press Release","Power & Instrumentation (Gujarat) Limited has informed the Exchange regarding a press release dated Jun 05, 2025, titled ""Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to enclosed herewith the copy of the press release with regard to receipt of Work Order worth Rs. 6,25,40,000/- (Six Crores Twenty five Lacs Forty thousand Only) (Including GST) for design, supply, Installation, Testing, commissioning and Client handling over of power supply system Electrical Work at Udaipur Air Terminal, Rajasthan."".","05-Jun-2025 17:25:34","2025-06-05 17:25:34","05-Jun-2025 17:25:35","00:00:01","https://nsearchives.nseindia.com/corporate/PIGL_05062025172525_Pressreleasereceiptoforder05062025.pdf","1.23 MB"
"PRUDMOULI","Prudential Sugar Corporation Limited","Press Release","Pursuant to Regulation 47 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, Please find enclosed herewith clipping of Newspaper Publication of EGM Notice including eVoting related procedure/instructions published in Business Standard and Saksham (Local) on June 05, 2025 for the Extraordinary General Meeting of the Company to be held on Saturday, June 28. 2025.We request you to take the above information on record and acknowledge receipt of the same.","05-Jun-2025 17:25:32","2025-06-05 17:25:32","05-Jun-2025 17:25:33","00:00:01","https://nsearchives.nseindia.com/corporate/PRUDMOULI_05062025172521_NPP_052025.pdf","5.49 MB"
"CRISIL","CRISIL Limited","Copy of Newspaper Publication","CRISIL Limited has informed the Exchange about Copy of Newspaper Publication","05-Jun-2025 17:22:08","2025-06-05 17:22:08","05-Jun-2025 17:22:09","00:00:01","https://nsearchives.nseindia.com/corporate/CRISIL_05062025172158_SIgnedBSENSE.pdf","1.09 MB"
"MAXIND","Max India Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Max India Limited has informed the Exchange about Transcript","05-Jun-2025 17:20:17","2025-06-05 17:20:17","05-Jun-2025 17:20:18","00:00:01","https://nsearchives.nseindia.com/corporate/MAXIND_05062025172008_EarningsCallTranscriptQ4FY25.pdf","420 KB"
"RBLBANK","RBL Bank Limited","Analysts/Institutional Investor Meet/Con. Call Updates","RBL Bank Limited has informed the Exchange about Schedule of meet","05-Jun-2025 17:20:13","2025-06-05 17:20:13","05-Jun-2025 17:20:14","00:00:01","https://nsearchives.nseindia.com/corporate/RBLBANK_05062025171855_IntimationofInvestorAnalystMeetJune052025Signed.pdf","216 KB"
"EPIGRAL","Epigral Limited","General Updates","Epigral Limited submits Business Responsibility and Sustainability Report for the F.Y. 2024-25.","05-Jun-2025 17:19:30","2025-06-05 17:19:30","05-Jun-2025 17:19:32","00:00:02","https://nsearchives.nseindia.com/corporate/MFL_05062025171912_EpigralBRSR.pdf","551 KB"
"MPHASIS","MphasiS Limited","Copy of Newspaper Publication","MphasiS Limited has informed the Exchange about Copy of Newspaper Publication","05-Jun-2025 17:19:09","2025-06-05 17:19:09","05-Jun-2025 17:19:09","00:00:00","https://nsearchives.nseindia.com/corporate/MPHASIS_05062025171840_MPHASISLTD05062025.pdf","716 KB"
"SBCL","Shivalik Bimetal Controls Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Shivalik Bimetal Controls Limited has informed the Exchange about Transcript of earnings call Q4 & FY25","05-Jun-2025 17:18:06","2025-06-05 17:18:06","05-Jun-2025 17:18:07","00:00:01","https://nsearchives.nseindia.com/corporate/SBCL_05062025171721_Covering_letter.pdf","600 KB"
"CCL","CCL Products (India) Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","CCL PRODUCTS (INDIA) LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","05-Jun-2025 17:09:23","2025-06-05 17:09:23","05-Jun-2025 17:09:24","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CIM_57625_1463394_05062025050923_WEB.xml","3 KB"
